                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3758,                  4.945,                 1.9333,                0.02801,                0.38896,                0.05101,                0.02722,                  1.836,                 4.0248,                  1.774,             4.9557e-05,             4.9557e-05,             4.9557e-05
                      2,                 2.0937,                 4.3617,                 1.7176,                0.47343,                0.08706,                0.08828,                0.05198,                 1.5739,                 3.3527,                 1.5445,             9.8241e-05,             9.8241e-05,             9.8241e-05
                      3,                 1.9044,                  4.015,                 1.6063,                0.41283,                0.19289,                0.13728,                0.08833,                 1.4022,                 2.9247,                 1.4223,             0.00014594,             0.00014594,             0.00014594
                      4,                 1.8152,                 3.8136,                  1.549,                0.42888,                0.23085,                0.16424,                0.10941,                 1.3604,                 2.7414,                 1.3877,             0.00014457,             0.00014457,             0.00014457
                      5,                 1.7437,                 3.5816,                 1.4621,                0.42776,                0.24341,                0.19465,                0.13267,                 1.3011,                 2.5797,                 1.3288,              0.0001431,              0.0001431,              0.0001431
                      6,                  1.694,                 3.4414,                 1.4452,                 0.4993,                0.24651,                0.24052,                0.16729,                 1.2413,                 2.3361,                 1.2649,             0.00014162,             0.00014162,             0.00014162
                      7,                 1.6112,                 3.3574,                 1.4027,                0.44228,                0.28256,                0.22811,                0.15804,                 1.1926,                 2.2905,                 1.2289,             0.00014015,             0.00014015,             0.00014015
                      8,                 1.5996,                  3.326,                 1.3821,                0.46603,                0.30481,                0.27167,                0.19058,                 1.1766,                 2.1462,                 1.2093,             0.00013867,             0.00013867,             0.00013867
                      9,                   1.56,                 3.1769,                 1.3727,                0.52139,                0.29138,                0.27238,                0.19366,                 1.1506,                 2.1515,                 1.2028,              0.0001372,              0.0001372,              0.0001372
                     10,                 1.5301,                 3.1577,                 1.3241,                 0.4772,                0.32259,                0.29022,                0.20483,                 1.1552,                 2.1129,                  1.189,             0.00013572,             0.00013572,             0.00013572
                     11,                   1.52,                 3.0116,                 1.3373,                0.46496,                0.35922,                0.31314,                0.22386,                 1.0986,                 2.0015,                 1.1674,             0.00013425,             0.00013425,             0.00013425
                     12,                 1.4979,                  2.992,                 1.3192,                0.42641,                0.36515,                 0.3181,                0.22783,                 1.1002,                 1.9895,                 1.1583,             0.00013277,             0.00013277,             0.00013277
                     13,                 1.4563,                 2.9635,                 1.2811,                0.46464,                0.35597,                0.34839,                0.25055,                 1.0847,                 1.9266,                  1.132,              0.0001313,              0.0001313,              0.0001313
                     14,                 1.5022,                 2.9695,                  1.305,                0.42191,                0.37465,                0.33827,                0.24261,                  1.077,                 1.8535,                 1.1313,             0.00012982,             0.00012982,             0.00012982
                     15,                 1.4378,                 2.8463,                 1.2898,                 0.4292,                0.41181,                0.35541,                0.25654,                 1.0648,                  1.885,                 1.1319,             0.00012835,             0.00012835,             0.00012835
                     16,                 1.4421,                 2.8178,                  1.281,                0.46245,                0.39907,                  0.358,                 0.2565,                 1.0683,                 1.8383,                 1.1226,             0.00012687,             0.00012687,             0.00012687
                     17,                 1.3941,                 2.8067,                 1.2493,                 0.4913,                 0.3893,                0.37096,                0.26818,                 1.0522,                 1.8356,                 1.1229,              0.0001254,              0.0001254,              0.0001254
                     18,                 1.3881,                 2.8009,                 1.2547,                0.45179,                0.42424,                0.37932,                0.27494,                 1.0347,                 1.7845,                 1.1162,             0.00012392,             0.00012392,             0.00012392
                     19,                 1.3848,                 2.7383,                 1.2476,                0.49864,                 0.3983,                0.38224,                0.27562,                 1.0383,                 1.7988,                 1.1133,             0.00012245,             0.00012245,             0.00012245
                     20,                 1.3854,                 2.7004,                 1.2682,                0.54604,                0.38362,                0.38926,                0.28288,                  1.038,                  1.786,                 1.1095,             0.00012097,             0.00012097,             0.00012097
                     21,                 1.3647,                 2.7203,                 1.2338,                 0.5003,                0.41554,                0.40254,                0.29443,                 1.0224,                 1.6897,                 1.0999,              0.0001195,              0.0001195,              0.0001195
                     22,                 1.3469,                 2.6155,                 1.2267,                0.45521,                0.45536,                 0.4094,                 0.2987,                 1.0124,                 1.7199,                 1.0943,             0.00011802,             0.00011802,             0.00011802
                     23,                 1.3164,                 2.5421,                 1.2186,                0.50434,                0.42854,                0.40581,                0.29519,                 1.0222,                 1.6786,                 1.1089,             0.00011655,             0.00011655,             0.00011655
                     24,                 1.3419,                 2.6295,                 1.2216,                 0.5038,                0.45867,                0.42078,                 0.3101,                  1.004,                 1.6762,                 1.0916,             0.00011507,             0.00011507,             0.00011507
                     25,                 1.3079,                 2.6045,                 1.2139,                0.47438,                0.44369,                0.41593,                 0.3065,                0.99701,                 1.6903,                 1.0794,              0.0001136,              0.0001136,              0.0001136
                     26,                 1.3163,                 2.6852,                 1.2139,                0.45246,                0.45781,                0.42655,                0.31295,                0.98981,                 1.6569,                 1.0824,             0.00011212,             0.00011212,             0.00011212
                     27,                 1.3186,                 2.5711,                 1.2165,                0.47235,                0.46139,                0.42865,                0.31749,                0.98414,                 1.6416,                 1.0806,             0.00011065,             0.00011065,             0.00011065
                     28,                 1.2987,                 2.5023,                 1.1962,                0.49183,                0.45107,                0.43399,                0.31884,                0.99469,                 1.6755,                 1.0724,             0.00010917,             0.00010917,             0.00010917
                     29,                 1.3074,                 2.5821,                 1.1921,                 0.4942,                0.46786,                0.43814,                0.32532,                0.98368,                 1.6362,                  1.073,              0.0001077,              0.0001077,              0.0001077
                     30,                 1.2686,                 2.4643,                 1.1812,                0.49036,                0.44982,                0.43179,                0.31829,                0.99446,                 1.6467,                  1.075,             0.00010622,             0.00010622,             0.00010622
                     31,                 1.2697,                  2.438,                 1.1777,                0.48654,                 0.4531,                 0.4342,                0.32383,                0.99493,                 1.6639,                 1.0958,             0.00010475,             0.00010475,             0.00010475
                     32,                 1.2406,                 2.4355,                 1.1787,                0.50212,                0.45683,                 0.4408,                0.32777,                0.99972,                 1.6445,                 1.0944,             0.00010327,             0.00010327,             0.00010327
                     33,                 1.2637,                 2.5016,                 1.1933,                0.47729,                0.47734,                0.44811,                0.33162,                0.97516,                  1.602,                 1.0704,              0.0001018,              0.0001018,              0.0001018
                     34,                  1.255,                  2.467,                 1.1602,                0.47094,                0.47608,                0.45415,                0.33909,                0.96359,                 1.5558,                 1.0719,             0.00010032,             0.00010032,             0.00010032
                     35,                 1.2471,                 2.4307,                 1.1734,                0.48364,                0.45902,                0.45413,                0.33875,                0.98224,                 1.5936,                 1.0796,             9.8847e-05,             9.8847e-05,             9.8847e-05
                     36,                 1.2341,                 2.4547,                 1.1711,                 0.4358,                0.48163,                0.44701,                0.33335,                0.97657,                 1.6361,                  1.072,             9.7371e-05,             9.7371e-05,             9.7371e-05
                     37,                 1.2321,                 2.3612,                 1.1717,                0.46636,                0.49679,                0.45506,                0.33912,                0.96181,                 1.6038,                 1.0661,             9.5896e-05,             9.5896e-05,             9.5896e-05
                     38,                  1.239,                  2.411,                 1.1838,                0.53725,                0.45965,                0.46137,                0.34512,                0.97079,                 1.6018,                 1.0742,             9.4421e-05,             9.4421e-05,             9.4421e-05
                     39,                 1.2344,                  2.394,                 1.1694,                0.44548,                0.51267,                0.46808,                0.34932,                0.94954,                 1.5338,                 1.0614,             9.2946e-05,             9.2946e-05,             9.2946e-05
                     40,                 1.2384,                 2.3866,                 1.1551,                0.46936,                0.50949,                0.47317,                0.35262,                0.95539,                 1.5145,                 1.0606,             9.1471e-05,             9.1471e-05,             9.1471e-05
                     41,                 1.2283,                 2.4397,                 1.1617,                 0.4762,                0.49534,                0.47339,                0.35233,                0.94849,                 1.5008,                 1.0587,             8.9996e-05,             8.9996e-05,             8.9996e-05
                     42,                 1.2301,                 2.4091,                 1.1657,                0.42404,                0.51977,                0.47367,                0.35661,                0.93649,                 1.5226,                 1.0517,             8.8521e-05,             8.8521e-05,             8.8521e-05
                     43,                 1.1985,                 2.3466,                 1.1473,                0.48718,                 0.5006,                0.46848,                0.35145,                0.93921,                 1.5525,                   1.05,             8.7046e-05,             8.7046e-05,             8.7046e-05
                     44,                 1.2267,                 2.3615,                  1.163,                0.44521,                0.50766,                 0.4676,                0.35072,                0.93544,                  1.567,                  1.045,             8.5571e-05,             8.5571e-05,             8.5571e-05
                     45,                 1.2083,                 2.3074,                 1.1577,                0.48847,                0.50368,                0.47127,                0.35248,                0.93798,                  1.536,                 1.0494,             8.4096e-05,             8.4096e-05,             8.4096e-05
                     46,                 1.1798,                 2.3169,                 1.1445,                0.48431,                0.48752,                0.46327,                0.34875,                0.93333,                 1.5717,                 1.0469,              8.262e-05,              8.262e-05,              8.262e-05
                     47,                 1.2285,                 2.3725,                 1.1734,                0.48442,                0.49863,                0.47367,                0.35645,                0.93422,                 1.5211,                 1.0461,             8.1145e-05,             8.1145e-05,             8.1145e-05
