                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2654,                  5.362,                 1.7334,                0.00373,                  0.008,                0.00256,                0.00106,                 1.9138,                 4.7727,                 1.5606,             4.9557e-05,             4.9557e-05,             4.9557e-05
                      2,                 1.8535,                 5.1182,                 1.4293,                0.00555,                0.06947,                0.00456,                 0.0023,                 1.5636,                 4.5571,                 1.3275,             9.8694e-05,             9.8694e-05,             9.8694e-05
                      3,                 1.6121,                 4.8895,                 1.3005,                0.01051,                0.23021,                0.01015,                0.00648,                 1.3742,                   4.21,                 1.2091,              0.0001473,              0.0001473,              0.0001473
                      4,                 1.5204,                 4.6821,                 1.2493,                0.01191,                0.28144,                0.01416,                0.00931,                 1.2634,                 4.0667,                 1.1849,             0.00014662,             0.00014662,             0.00014662
                      5,                 1.4579,                  4.511,                 1.2039,                 0.0118,                0.30523,                0.01598,                0.01075,                 1.2274,                 3.9921,                 1.1554,             0.00014582,             0.00014582,             0.00014582
                      6,                 1.4211,                 4.3031,                  1.192,                0.27854,                0.08865,                0.02046,                0.01407,                 1.1701,                 3.8142,                 1.1284,             0.00014503,             0.00014503,             0.00014503
                      7,                 1.3582,                 4.2807,                  1.175,                 0.2453,                0.08968,                0.02502,                0.01799,                 1.1488,                  3.915,                 1.1245,             0.00014423,             0.00014423,             0.00014423
                      8,                 1.3237,                  4.187,                 1.1503,                0.29619,                0.10859,                0.03416,                0.02415,                 1.1322,                 3.5684,                 1.1066,             0.00014344,             0.00014344,             0.00014344
                      9,                 1.2745,                 4.0049,                 1.1502,                0.25814,                0.10924,                0.04223,                0.03046,                 1.0988,                 3.4392,                 1.1097,             0.00014264,             0.00014264,             0.00014264
                     10,                 1.2763,                 3.9728,                 1.1335,                0.30504,                0.11233,                0.05292,                0.03752,                 1.0903,                  3.317,                 1.1066,             0.00014185,             0.00014185,             0.00014185
                     11,                 1.2624,                 3.7947,                 1.1411,                0.31526,                0.12412,                0.06365,                0.04605,                 1.0446,                 3.1936,                 1.0711,             0.00014105,             0.00014105,             0.00014105
                     12,                 1.2684,                 3.7091,                 1.1514,                0.30518,                0.14537,                0.07367,                0.05411,                 1.0399,                  3.184,                 1.0822,             0.00014026,             0.00014026,             0.00014026
                     13,                 1.2288,                 3.6789,                  1.117,                0.18439,                0.16493,                 0.0814,                0.05955,                 1.0389,                 3.4037,                 1.0785,             0.00013946,             0.00013946,             0.00013946
                     14,                 1.2607,                 3.5682,                 1.1413,                0.28477,                0.18353,                0.09286,                0.06819,                 1.0261,                 3.1986,                 1.0818,             0.00013867,             0.00013867,             0.00013867
                     15,                 1.2147,                 3.4318,                 1.1322,                0.26453,                 0.1846,                0.10461,                0.07653,                 1.0255,                 3.0856,                 1.0746,             0.00013787,             0.00013787,             0.00013787
                     16,                 1.2114,                 3.3633,                 1.1297,                  0.287,                0.20281,                0.12554,                 0.0926,                 1.0006,                 2.8099,                 1.0765,             0.00013708,             0.00013708,             0.00013708
                     17,                 1.1873,                 3.3388,                 1.1164,                0.30755,                0.22417,                0.14545,                0.10732,                0.99682,                 2.6973,                 1.0763,             0.00013629,             0.00013629,             0.00013629
                     18,                 1.1732,                 3.2989,                 1.1217,                0.32612,                0.23578,                0.15733,                0.11789,                0.97756,                 2.7051,                 1.0758,             0.00013549,             0.00013549,             0.00013549
                     19,                 1.1684,                 3.1958,                 1.1198,                0.35942,                0.27374,                0.17411,                0.12894,                0.98577,                 2.5505,                 1.0609,              0.0001347,              0.0001347,              0.0001347
                     20,                 1.1644,                 3.0873,                 1.1344,                0.31139,                0.29288,                0.16722,                0.12478,                0.96528,                 2.8621,                 1.0494,              0.0001339,              0.0001339,              0.0001339
                     21,                 1.1701,                 3.1331,                 1.1133,                0.34074,                0.29133,                 0.1964,                0.14737,                0.95409,                 2.5114,                 1.0611,             0.00013311,             0.00013311,             0.00013311
                     22,                 1.1408,                 2.9796,                 1.1148,                0.35548,                0.30211,                0.20292,                0.15258,                0.95777,                 2.6954,                 1.0589,             0.00013231,             0.00013231,             0.00013231
                     23,                 1.1259,                 2.8646,                 1.1054,                0.44997,                0.32479,                0.24171,                0.18249,                0.93684,                 2.2936,                 1.0614,             0.00013152,             0.00013152,             0.00013152
                     24,                 1.1452,                 2.9562,                 1.1151,                0.38823,                0.33491,                0.22367,                0.16791,                0.94723,                  2.637,                 1.0687,             0.00013072,             0.00013072,             0.00013072
                     25,                 1.1159,                 2.8983,                 1.1011,                0.33738,                0.35069,                0.21555,                0.16212,                0.93852,                 3.0118,                 1.0536,             0.00012993,             0.00012993,             0.00012993
                     26,                  1.105,                 2.9402,                 1.0961,                0.35497,                0.34811,                0.25036,                0.18739,                 0.9365,                 2.4791,                 1.0605,             0.00012913,             0.00012913,             0.00012913
                     27,                 1.1256,                 2.7981,                 1.1158,                0.41271,                0.35854,                0.28273,                0.21376,                0.91495,                 2.1716,                 1.0427,             0.00012834,             0.00012834,             0.00012834
                     28,                 1.1059,                 2.7182,                 1.0961,                0.40888,                0.37022,                0.28254,                0.21472,                0.92997,                 2.2622,                 1.0627,             0.00012754,             0.00012754,             0.00012754
                     29,                 1.1024,                  2.813,                  1.089,                0.42549,                0.36582,                0.30222,                0.22819,                0.93586,                 2.1938,                 1.0525,             0.00012675,             0.00012675,             0.00012675
                     30,                 1.0903,                 2.6484,                 1.1011,                 0.3568,                0.39453,                0.27414,                 0.2066,                0.92273,                 2.3024,                 1.0484,             0.00012595,             0.00012595,             0.00012595
                     31,                 1.0805,                 2.6029,                 1.0815,                0.40565,                0.41172,                0.30836,                0.23323,                0.91124,                 2.1835,                 1.0421,             0.00012516,             0.00012516,             0.00012516
                     32,                 1.0724,                 2.6042,                 1.0955,                0.45582,                0.39625,                0.32806,                0.24955,                0.91007,                 2.0357,                 1.0433,             0.00012437,             0.00012437,             0.00012437
                     33,                 1.0893,                 2.6168,                 1.0929,                0.45657,                0.42869,                0.35274,                0.26903,                0.90328,                 1.9478,                 1.0393,             0.00012357,             0.00012357,             0.00012357
                     34,                 1.0942,                 2.5784,                 1.0868,                0.43968,                0.44476,                0.35022,                0.26572,                0.90994,                 2.0501,                 1.0501,             0.00012278,             0.00012278,             0.00012278
                     35,                 1.0798,                 2.5324,                 1.0935,                 0.4325,                0.45339,                0.35153,                0.27013,                0.88382,                 2.1625,                  1.033,             0.00012198,             0.00012198,             0.00012198
                     36,                 1.0539,                 2.5338,                 1.0842,                 0.4047,                0.46041,                0.36262,                0.27871,                0.88508,                 2.2254,                 1.0349,             0.00012119,             0.00012119,             0.00012119
                     37,                 1.0588,                 2.3961,                   1.09,                0.43402,                0.48807,                0.39061,                0.30121,                0.87634,                 1.9018,                 1.0396,             0.00012039,             0.00012039,             0.00012039
                     38,                 1.0674,                 2.4589,                  1.093,                0.44824,                 0.4652,                0.38886,                0.29802,                0.88894,                 2.0708,                 1.0423,              0.0001196,              0.0001196,              0.0001196
                     39,                 1.0633,                 2.4279,                 1.0865,                0.40179,                0.48902,                0.38375,                0.29617,                0.87508,                 2.0448,                  1.037,              0.0001188,              0.0001188,              0.0001188
                     40,                 1.0531,                 2.4276,                 1.0682,                0.43992,                0.50042,                0.37727,                0.28928,                0.88085,                 2.0762,                  1.029,             0.00011801,             0.00011801,             0.00011801
                     41,                  1.044,                 2.4642,                   1.07,                0.45018,                0.49809,                0.39517,                  0.305,                0.87081,                 1.9107,                 1.0275,             0.00011721,             0.00011721,             0.00011721
                     42,                 1.0442,                 2.3881,                 1.0747,                0.42056,                0.52606,                0.40206,                0.31224,                0.86422,                  1.958,                   1.03,             0.00011642,             0.00011642,             0.00011642
                     43,                 1.0221,                 2.3419,                 1.0681,                0.41916,                0.53072,                0.40717,                0.31323,                0.87785,                 2.0168,                 1.0345,             0.00011562,             0.00011562,             0.00011562
                     44,                 1.0525,                 2.3511,                  1.079,                0.41699,                0.52735,                0.40095,                0.30679,                0.88772,                 2.0218,                 1.0316,             0.00011483,             0.00011483,             0.00011483
                     45,                 1.0441,                  2.258,                 1.0823,                0.41833,                0.55263,                0.42028,                0.32546,                0.85996,                 1.9532,                  1.026,             0.00011403,             0.00011403,             0.00011403
                     46,                 1.0054,                 2.2988,                 1.0578,                0.46199,                0.53813,                 0.4309,                0.33241,                0.86398,                 1.9196,                 1.0232,             0.00011324,             0.00011324,             0.00011324
                     47,                 1.0259,                 2.3085,                 1.0725,                0.46618,                0.54692,                0.44291,                0.34141,                0.87385,                  1.909,                 1.0263,             0.00011245,             0.00011245,             0.00011245
                     48,                 1.0481,                 2.3164,                  1.075,                0.44955,                0.54907,                0.43704,                0.33755,                0.86127,                 2.0586,                 1.0238,             0.00011165,             0.00011165,             0.00011165
                     49,                 1.0173,                 2.1965,                 1.0601,                0.41962,                0.58202,                0.43092,                0.33239,                0.86547,                 2.4018,                  1.026,             0.00011086,             0.00011086,             0.00011086
                     50,                 1.0585,                 2.2324,                 1.0852,                 0.4262,                0.56568,                0.43816,                0.34063,                 0.8546,                 2.4046,                 1.0238,             0.00011006,             0.00011006,             0.00011006
                     51,                 1.0266,                 2.2167,                 1.0599,                0.45268,                0.57735,                0.46512,                0.36283,                0.83747,                 2.0183,                   1.02,             0.00010927,             0.00010927,             0.00010927
                     52,                 0.9977,                 2.1678,                 1.0624,                0.47479,                0.58073,                0.47365,                0.36857,                0.84451,                 1.7185,                 1.0242,             0.00010847,             0.00010847,             0.00010847
                     53,                0.98596,                 2.2835,                 1.0434,                0.45511,                0.59398,                 0.4712,                0.36561,                0.84317,                 2.0027,                 1.0201,             0.00010768,             0.00010768,             0.00010768
                     54,                 1.0277,                 2.1626,                  1.073,                0.47409,                0.59451,                0.49068,                0.38282,                0.84877,                 1.7075,                 1.0302,             0.00010688,             0.00010688,             0.00010688
                     55,                 1.0262,                  2.139,                 1.0692,                0.48064,                0.60861,                0.49587,                0.38498,                0.84087,                 1.6554,                 1.0245,             0.00010609,             0.00010609,             0.00010609
                     56,                0.98901,                 2.0629,                  1.069,                0.46018,                0.59377,                0.48493,                0.37641,                0.84213,                 1.7725,                 1.0224,             0.00010529,             0.00010529,             0.00010529
                     57,                0.99394,                 2.1283,                  1.061,                0.46613,                0.61702,                 0.4926,                0.38468,                0.83151,                 1.8167,                 1.0223,              0.0001045,              0.0001045,              0.0001045
                     58,                0.97566,                 2.0695,                 1.0405,                0.48172,                0.61534,                0.50979,                0.39912,                0.82888,                 1.7108,                  1.021,              0.0001037,              0.0001037,              0.0001037
                     59,                0.99664,                 2.0725,                 1.0577,                0.45239,                0.62177,                0.50289,                0.39367,                0.83176,                 1.9033,                 1.0213,             0.00010291,             0.00010291,             0.00010291
                     60,                 0.9935,                 2.0252,                 1.0589,                0.45091,                0.62527,                0.49679,                0.38842,                0.83156,                 1.8905,                 1.0131,             0.00010211,             0.00010211,             0.00010211
                     61,                 1.0003,                 2.0629,                 1.0604,                0.48811,                0.63441,                0.51597,                 0.4003,                0.85042,                 1.7689,                 1.0251,             0.00010132,             0.00010132,             0.00010132
