                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2654,                  5.362,                 1.7334,                0.00373,                  0.008,                0.00256,                0.00106,                 1.9138,                 4.7727,                 1.5606,             4.9557e-05,             4.9557e-05,             4.9557e-05
                      2,                 1.8456,                 5.1105,                 1.4229,                0.00836,                0.07887,                0.00632,                0.00325,                 1.5402,                 4.5434,                 1.3144,             9.9064e-05,             9.9064e-05,             9.9064e-05
                      3,                 1.5983,                 4.8654,                 1.2855,                0.01047,                0.23873,                0.01041,                0.00659,                 1.3623,                 4.2008,                 1.2024,             0.00014841,             0.00014841,             0.00014841
                      4,                 1.5229,                 4.6654,                 1.2494,                0.01041,                0.27004,                0.01286,                0.00848,                 1.2564,                 4.0818,                 1.1827,             0.00014828,             0.00014828,             0.00014828
                      5,                 1.4507,                 4.4955,                 1.2034,                0.01182,                0.31258,                0.01608,                0.01088,                 1.2151,                 3.9797,                 1.1563,             0.00014805,             0.00014805,             0.00014805
                      6,                 1.4135,                 4.3044,                 1.1971,                0.28988,                0.07619,                0.02137,                0.01482,                 1.1836,                 3.8167,                 1.1462,             0.00014781,             0.00014781,             0.00014781
                      7,                  1.351,                 4.2912,                 1.1739,                0.20123,                 0.0776,                0.02504,                0.01735,                 1.1662,                 3.8357,                 1.1354,             0.00014757,             0.00014757,             0.00014757
                      8,                 1.3233,                 4.2029,                  1.153,                0.26395,                0.11093,                0.03236,                 0.0229,                 1.1374,                 3.5515,                  1.117,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.2767,                 4.0146,                 1.1548,                0.26508,                0.10719,                0.04226,                0.03042,                 1.1121,                 3.4703,                 1.1202,             0.00014709,             0.00014709,             0.00014709
                     10,                 1.2897,                  3.984,                 1.1369,                0.29225,                0.09506,                0.04822,                0.03391,                 1.1079,                 3.3987,                 1.1098,             0.00014685,             0.00014685,             0.00014685
                     11,                 1.2818,                 3.7931,                 1.1471,                  0.328,                0.11097,                 0.0586,                0.04245,                 1.0406,                  3.235,                 1.0771,             0.00014662,             0.00014662,             0.00014662
                     12,                 1.2691,                 3.6833,                 1.1492,                0.28384,                0.14744,                0.06793,                0.04967,                 1.0391,                 3.1612,                  1.086,             0.00014638,             0.00014638,             0.00014638
                     13,                 1.2307,                 3.6652,                 1.1185,                0.24658,                0.17318,                0.07874,                0.05695,                 1.0488,                 3.4235,                 1.0869,             0.00014614,             0.00014614,             0.00014614
                     14,                 1.2616,                 3.5514,                  1.147,                0.26781,                0.18693,                0.08321,                0.06062,                 1.0328,                 3.4502,                 1.0902,              0.0001459,              0.0001459,              0.0001459
                     15,                 1.2158,                 3.4023,                 1.1391,                 0.2476,                0.18037,                0.09576,                0.07007,                 1.0192,                 3.1679,                 1.0792,             0.00014566,             0.00014566,             0.00014566
                     16,                  1.206,                 3.3398,                 1.1293,                0.29258,                0.19925,                0.11312,                0.08356,                0.99158,                 2.9015,                 1.0692,             0.00014542,             0.00014542,             0.00014542
                     17,                 1.1753,                 3.3102,                 1.1139,                0.31005,                0.22247,                0.13965,                 0.1021,                0.99652,                 2.7395,                   1.07,             0.00014519,             0.00014519,             0.00014519
                     18,                 1.1798,                 3.2421,                 1.1338,                0.32472,                0.24688,                0.15942,                0.11843,                0.98245,                 2.6272,                 1.0837,             0.00014495,             0.00014495,             0.00014495
                     19,                 1.1779,                 3.1558,                 1.1336,                0.32811,                0.26714,                0.17087,                 0.1268,                0.98023,                 2.5709,                 1.0746,             0.00014471,             0.00014471,             0.00014471
                     20,                 1.1563,                 3.0532,                 1.1367,                0.29711,                0.29381,                0.16812,                0.12498,                0.96902,                 3.0334,                 1.0686,             0.00014447,             0.00014447,             0.00014447
                     21,                 1.1607,                 3.0889,                 1.1184,                0.34766,                0.31437,                0.19363,                0.14512,                0.95523,                 2.5753,                 1.0673,             0.00014423,             0.00014423,             0.00014423
                     22,                 1.1372,                 2.9287,                 1.1249,                 0.3668,                0.32461,                0.19817,                0.14885,                0.95872,                 2.7002,                 1.0749,             0.00014399,             0.00014399,             0.00014399
                     23,                  1.128,                 2.8439,                 1.1085,                 0.4226,                0.32342,                0.24943,                0.18889,                0.93769,                 2.2523,                 1.0652,             0.00014376,             0.00014376,             0.00014376
                     24,                 1.1481,                  2.912,                 1.1245,                0.38721,                 0.3408,                0.24154,                0.18109,                0.95264,                 2.3305,                 1.0809,             0.00014352,             0.00014352,             0.00014352
                     25,                 1.1246,                  2.862,                 1.1083,                0.36737,                0.33995,                0.23062,                0.17269,                0.94125,                  2.615,                 1.0552,             0.00014328,             0.00014328,             0.00014328
                     26,                 1.1218,                 2.8984,                 1.1058,                0.37769,                0.36804,                0.27365,                0.20588,                0.93546,                 2.2478,                 1.0654,             0.00014304,             0.00014304,             0.00014304
                     27,                 1.1261,                 2.7634,                 1.1232,                0.42291,                0.37352,                0.29369,                0.22229,                0.91231,                 2.1477,                 1.0533,              0.0001428,              0.0001428,              0.0001428
                     28,                 1.1014,                 2.6808,                 1.0995,                0.36978,                0.39587,                0.25933,                0.19804,                0.91555,                 2.6582,                 1.0555,             0.00014256,             0.00014256,             0.00014256
                     29,                 1.0972,                 2.7879,                 1.0905,                0.42458,                0.39469,                0.30293,                0.22993,                0.92066,                 2.2705,                 1.0554,             0.00014232,             0.00014232,             0.00014232
                     30,                 1.0822,                 2.6117,                 1.0996,                0.38394,                0.41685,                0.28244,                0.21388,                0.92109,                 2.4213,                 1.0595,             0.00014209,             0.00014209,             0.00014209
                     31,                 1.0739,                 2.5654,                 1.0866,                0.43029,                0.41662,                0.31922,                0.24404,                0.89442,                 2.1441,                 1.0446,             0.00014185,             0.00014185,             0.00014185
                     32,                 1.0551,                 2.5411,                 1.0956,                0.45231,                0.43058,                0.35919,                0.27458,                0.89965,                 1.9286,                 1.0487,             0.00014161,             0.00014161,             0.00014161
                     33,                 1.0795,                 2.5605,                 1.0984,                0.45729,                0.43097,                0.37167,                0.28573,                0.89145,                 1.8595,                 1.0437,             0.00014137,             0.00014137,             0.00014137
                     34,                 1.0784,                 2.5205,                 1.0851,                0.45609,                0.45605,                0.37534,                 0.2847,                0.90678,                 1.8727,                 1.0609,             0.00014113,             0.00014113,             0.00014113
                     35,                 1.0675,                 2.4864,                 1.0897,                0.42412,                0.47345,                 0.3871,                0.29796,                0.88217,                 1.8826,                 1.0474,             0.00014089,             0.00014089,             0.00014089
                     36,                 1.0512,                 2.4772,                 1.0902,                0.44659,                0.47471,                0.39762,                0.30622,                0.88284,                 2.0894,                 1.0458,             0.00014066,             0.00014066,             0.00014066
                     37,                 1.0562,                 2.3497,                 1.0972,                0.43807,                0.50286,                0.42133,                0.32502,                0.87914,                  1.809,                 1.0501,             0.00014042,             0.00014042,             0.00014042
                     38,                 1.0607,                 2.4102,                 1.0979,                0.46177,                0.50492,                0.42276,                0.32504,                 0.8784,                 1.7983,                 1.0428,             0.00014018,             0.00014018,             0.00014018
                     39,                 1.0591,                 2.3731,                 1.0859,                0.42966,                 0.5421,                0.41673,                0.32053,                0.87147,                  1.852,                 1.0391,             0.00013994,             0.00013994,             0.00013994
                     40,                   1.04,                 2.3683,                 1.0707,                0.42743,                0.52304,                0.41077,                0.31449,                0.88226,                 1.7865,                 1.0405,              0.0001397,              0.0001397,              0.0001397
                     41,                 1.0475,                 2.4078,                 1.0784,                0.45406,                0.53314,                0.43576,                0.33592,                0.87242,                 1.6903,                  1.039,             0.00013946,             0.00013946,             0.00013946
                     42,                 1.0337,                   2.33,                 1.0737,                0.41611,                0.55287,                0.41985,                  0.326,                0.85541,                 1.8634,                 1.0335,             0.00013923,             0.00013923,             0.00013923
                     43,                 1.0167,                 2.2901,                 1.0722,                0.40418,                0.55743,                0.40632,                 0.3142,                0.86314,                 2.1978,                 1.0392,             0.00013899,             0.00013899,             0.00013899
                     44,                   1.04,                 2.2923,                  1.082,                0.43252,                0.57184,                0.42615,                0.32881,                  0.868,                 2.0591,                 1.0357,             0.00013875,             0.00013875,             0.00013875
                     45,                 1.0374,                 2.1966,                 1.0861,                0.42099,                0.56736,                0.43994,                0.34259,                0.85601,                 1.9371,                 1.0364,             0.00013851,             0.00013851,             0.00013851
                     46,                  1.003,                 2.2375,                 1.0641,                0.43659,                0.55037,                 0.4411,                0.34135,                0.86418,                 1.9318,                  1.031,             0.00013827,             0.00013827,             0.00013827
                     47,                 1.0222,                 2.2509,                 1.0732,                0.43888,                 0.5799,                0.45493,                0.35137,                0.87181,                 2.1677,                 1.0359,             0.00013803,             0.00013803,             0.00013803
                     48,                 1.0395,                 2.2625,                 1.0778,                0.50559,                0.56436,                0.45607,                0.35339,                0.85132,                 2.2891,                 1.0248,              0.0001378,              0.0001378,              0.0001378
                     49,                 1.0143,                 2.1382,                  1.064,                0.42321,                0.59106,                0.46187,                0.35972,                0.85112,                 2.8057,                 1.0261,             0.00013756,             0.00013756,             0.00013756
                     50,                 1.0473,                 2.1707,                  1.088,                0.39712,                0.61725,                0.44242,                0.34359,                0.84929,                 2.7413,                 1.0252,             0.00013732,             0.00013732,             0.00013732
                     51,                   1.02,                 2.1495,                 1.0625,                0.45411,                0.60231,                0.47172,                0.36588,                0.83988,                 2.3722,                 1.0262,             0.00013708,             0.00013708,             0.00013708
                     52,                0.99392,                 2.0947,                 1.0663,                0.47378,                0.61893,                 0.4999,                0.39012,                0.83706,                 1.6348,                  1.027,             0.00013684,             0.00013684,             0.00013684
                     53,                0.97375,                  2.194,                 1.0439,                0.43049,                 0.6084,                0.48841,                0.38119,                 0.8369,                 1.8666,                 1.0167,              0.0001366,              0.0001366,              0.0001366
                     54,                 1.0177,                 2.0987,                  1.074,                0.47086,                0.63391,                 0.5089,                0.39868,                0.83203,                 1.7514,                 1.0259,             0.00013636,             0.00013636,             0.00013636
                     55,                 1.0161,                 2.0717,                 1.0639,                0.43631,                0.64724,                0.51713,                0.40535,                0.82902,                  1.656,                  1.021,             0.00013613,             0.00013613,             0.00013613
                     56,                 0.9861,                 2.0011,                 1.0719,                0.43718,                0.65046,                0.50894,                0.39599,                0.83854,                 1.7111,                 1.0281,             0.00013589,             0.00013589,             0.00013589
                     57,                0.99151,                 2.0733,                 1.0642,                0.45348,                0.64585,                0.52983,                 0.4135,                0.83771,                 1.5415,                 1.0293,             0.00013565,             0.00013565,             0.00013565
                     58,                 0.9763,                 2.0055,                  1.042,                0.48525,                0.63683,                0.52582,                0.41085,                 0.8308,                 1.6828,                 1.0268,             0.00013541,             0.00013541,             0.00013541
                     59,                0.99597,                 2.0126,                 1.0596,                0.44081,                0.66922,                0.52311,                0.40821,                0.83209,                 1.8934,                 1.0252,             0.00013517,             0.00013517,             0.00013517
                     60,                0.98886,                 1.9555,                 1.0621,                0.45599,                0.67241,                0.53402,                0.41714,                0.83148,                 1.6191,                 1.0156,             0.00013493,             0.00013493,             0.00013493
                     61,                0.99311,                 1.9899,                 1.0623,                0.49864,                0.66921,                0.54257,                0.42523,                0.82754,                 1.5952,                 1.0195,              0.0001347,              0.0001347,              0.0001347
                     62,                0.96899,                 1.9511,                 1.0485,                0.46409,                0.67112,                0.54483,                0.42617,                0.82222,                 1.4677,                 1.0165,             0.00013446,             0.00013446,             0.00013446
                     63,                0.97634,                 1.9152,                 1.0573,                0.47811,                0.67392,                0.54295,                0.42452,                0.82282,                 1.4577,                 1.0156,             0.00013422,             0.00013422,             0.00013422
                     64,                0.96647,                  1.943,                 1.0359,                0.45399,                 0.6943,                0.54225,                 0.4235,                0.82216,                 1.4464,                 1.0158,             0.00013398,             0.00013398,             0.00013398
                     65,                0.97891,                 1.9963,                 1.0414,                0.47642,                0.67447,                0.54696,                0.42947,                0.80852,                  1.462,                 1.0072,             0.00013374,             0.00013374,             0.00013374
                     66,                0.99867,                 1.9317,                 1.0537,                0.47146,                0.68783,                0.55384,                0.43606,                0.80918,                  1.463,                 1.0098,              0.0001335,              0.0001335,              0.0001335
                     67,                0.96244,                 1.8348,                 1.0419,                0.45487,                0.70165,                0.55313,                0.43463,                0.80695,                 1.4892,                 1.0092,             0.00013327,             0.00013327,             0.00013327
                     68,                0.99302,                 1.9532,                 1.0496,                0.48773,                0.67784,                0.55924,                0.43707,                0.81737,                  1.548,                 1.0156,             0.00013303,             0.00013303,             0.00013303
                     69,                 0.9761,                 1.9228,                 1.0466,                0.47039,                0.66972,                0.53971,                0.42282,                0.81398,                 1.6334,                 1.0089,             0.00013279,             0.00013279,             0.00013279
                     70,                0.95278,                 1.8804,                 1.0259,                0.45485,                0.69141,                0.55813,                0.43809,                0.80927,                 1.6512,                  1.011,             0.00013255,             0.00013255,             0.00013255
                     71,                0.96354,                 1.9524,                 1.0489,                0.48037,                0.71026,                0.57046,                0.44804,                0.80797,                 1.4789,                 1.0139,             0.00013231,             0.00013231,             0.00013231
                     72,                0.97353,                 1.8972,                  1.053,                0.48164,                0.71532,                0.56274,                0.44253,                0.80846,                 1.5307,                 1.0114,             0.00013207,             0.00013207,             0.00013207
                     73,                0.96345,                 1.8847,                 1.0492,                 0.4681,                0.72418,                0.57848,                0.45687,                0.79602,                  1.399,                 1.0009,             0.00013184,             0.00013184,             0.00013184
                     74,                0.96614,                  1.868,                 1.0565,                0.49361,                0.71079,                 0.5768,                0.45521,                 0.7969,                 1.4471,                 1.0113,              0.0001316,              0.0001316,              0.0001316
                     75,                0.95929,                 1.8276,                 1.0486,                0.44068,                0.74241,                 0.5692,                 0.4488,                0.80597,                 1.4834,                 1.0064,             0.00013136,             0.00013136,             0.00013136
                     76,                0.95181,                 1.8209,                 1.0373,                0.45741,                0.75674,                0.58857,                0.46517,                0.80208,                  1.317,                  1.008,             0.00013112,             0.00013112,             0.00013112
                     77,                0.96775,                 1.8326,                 1.0566,                0.45104,                0.73614,                0.56776,                0.45108,                0.78591,                 1.5926,                 1.0034,             0.00013088,             0.00013088,             0.00013088
                     78,                 0.9633,                 1.7978,                 1.0434,                0.45678,                0.71453,                0.55466,                0.43868,                0.78907,                 2.0051,                0.99952,             0.00013064,             0.00013064,             0.00013064
                     79,                0.93709,                 1.8203,                 1.0205,                   0.46,                0.74437,                 0.5728,                0.45216,                 0.7948,                 1.6739,                 1.0069,              0.0001304,              0.0001304,              0.0001304
                     80,                0.94289,                 1.8133,                 1.0284,                 0.4886,                 0.7425,                0.59261,                 0.4688,                0.78158,                 1.3152,                 1.0042,             0.00013017,             0.00013017,             0.00013017
                     81,                0.94072,                 1.7932,                 1.0303,                0.49424,                0.73737,                0.58835,                 0.4693,                0.77197,                 1.4464,                0.99696,             0.00012993,             0.00012993,             0.00012993
                     82,                0.94788,                 1.7562,                  1.027,                0.47225,                0.75599,                0.58223,                0.45834,                 0.7913,                 1.5662,                  1.001,             0.00012969,             0.00012969,             0.00012969
                     83,                0.94466,                 1.7843,                 1.0285,                0.46759,                0.75822,                 0.5842,                0.45871,                0.78553,                 1.5652,                0.99173,             0.00012945,             0.00012945,             0.00012945
                     84,                0.93506,                 1.7941,                 1.0343,                0.44496,                0.75152,                0.57617,                0.45724,                0.78146,                 1.8681,                0.99492,             0.00012921,             0.00012921,             0.00012921
                     85,                 0.9148,                 1.7386,                 1.0151,                0.50156,                0.70374,                0.56856,                0.44851,                0.78837,                 1.7971,                 1.0004,             0.00012897,             0.00012897,             0.00012897
                     86,                0.94499,                 1.7637,                 1.0467,                0.52216,                0.72666,                 0.5893,                 0.4657,                0.79159,                 1.3894,                 1.0052,             0.00012874,             0.00012874,             0.00012874
                     87,                0.97014,                 1.7764,                 1.0418,                0.49582,                0.71019,                0.58217,                 0.4613,                0.78615,                 1.5448,                 1.0009,              0.0001285,              0.0001285,              0.0001285
                     88,                0.93951,                 1.7357,                 1.0377,                0.46421,                0.74392,                0.58576,                0.46437,                0.78109,                 1.6985,                 1.0009,             0.00012826,             0.00012826,             0.00012826
                     89,                0.93565,                 1.7976,                 1.0278,                0.47661,                0.77163,                0.58966,                0.46544,                0.79067,                  1.382,                 1.0065,             0.00012802,             0.00012802,             0.00012802
                     90,                0.93821,                 1.6993,                 1.0309,                0.46928,                0.75957,                0.59248,                0.46979,                 0.7738,                 1.5651,                0.99473,             0.00012778,             0.00012778,             0.00012778
                     91,                0.92881,                 1.7227,                 1.0213,                0.48719,                 0.7461,                 0.5731,                0.45003,                0.79386,                 2.4985,                 1.0036,             0.00012754,             0.00012754,             0.00012754
                     92,                 0.9076,                 1.7001,                 1.0292,                0.49224,                0.74498,                0.59325,                0.46961,                0.77587,                 1.9032,                 0.9988,             0.00012731,             0.00012731,             0.00012731
                     93,                0.92779,                 1.7526,                 1.0301,                 0.5094,                0.75645,                0.60495,                0.48063,                0.76752,                 1.5662,                0.99266,             0.00012707,             0.00012707,             0.00012707
                     94,                0.92498,                 1.7403,                 1.0157,                0.51989,                0.74368,                0.59703,                0.47492,                0.77103,                 1.7208,                0.99122,             0.00012683,             0.00012683,             0.00012683
                     95,                0.91271,                 1.7136,                 1.0084,                0.50524,                0.77328,                 0.6037,                0.48143,                0.76705,                 1.6036,                0.98951,             0.00012659,             0.00012659,             0.00012659
                     96,                0.91859,                 1.6871,                 1.0204,                0.50255,                0.74354,                0.59493,                0.47139,                0.78361,                 1.7232,                0.99761,             0.00012635,             0.00012635,             0.00012635
                     97,                0.91819,                 1.7022,                 1.0221,                0.47254,                0.79391,                0.59619,                0.47488,                0.77364,                 1.7779,                0.99352,             0.00012611,             0.00012611,             0.00012611
                     98,                0.89352,                 1.6343,                 1.0228,                0.49507,                0.77904,                0.59744,                 0.4766,                0.76263,                 1.6547,                0.98278,             0.00012588,             0.00012588,             0.00012588
                     99,                0.90692,                 1.6631,                 1.0128,                0.51862,                0.75074,                0.60903,                0.48514,                0.76544,                  1.504,                0.98791,             0.00012564,             0.00012564,             0.00012564
                    100,                0.94095,                  1.672,                 1.0291,                0.51227,                0.76184,                0.59811,                0.47302,                0.77374,                 1.7899,                0.99622,              0.0001254,              0.0001254,              0.0001254
                    101,                0.91291,                 1.6677,                 1.0239,                0.46939,                0.77448,                 0.5939,                0.47363,                 0.7616,                 1.6946,                0.98654,             0.00012516,             0.00012516,             0.00012516
                    102,                0.90532,                 1.6129,                 1.0185,                0.48698,                0.78727,                0.60342,                0.47837,                0.77328,                 1.8889,                 0.9919,             0.00012492,             0.00012492,             0.00012492
                    103,                0.91758,                 1.6938,                 1.0387,                0.47705,                 0.7916,                0.60533,                0.48165,                 0.7689,                 2.2266,                0.99241,             0.00012468,             0.00012468,             0.00012468
                    104,                0.91206,                 1.6312,                 1.0203,                0.48767,                0.76427,                0.60682,                0.48338,                0.76127,                 2.0364,                0.98856,             0.00012444,             0.00012444,             0.00012444
                    105,                0.91364,                 1.6358,                  1.023,                0.47578,                0.79515,                0.60532,                0.48025,                0.76709,                 1.8209,                0.99067,             0.00012421,             0.00012421,             0.00012421
