                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2866,                 5.3768,                 1.8211,                0.00708,                0.12539,                0.00646,                0.00285,                 1.8833,                 4.6824,                 1.5163,             4.9227e-05,             4.9227e-05,             4.9227e-05
                      2,                 1.7911,                 4.8988,                 1.2869,                0.01019,                0.23213,                 0.0106,                0.00541,                 1.5629,                 4.3787,                 1.3067,             9.7915e-05,             9.7915e-05,             9.7915e-05
                      3,                 1.6122,                 4.5885,                 1.2118,                0.01156,                0.31051,                0.01627,                 0.0097,                 1.4107,                 4.0582,                 1.2059,             0.00014562,             0.00014562,             0.00014562
                      4,                 1.5064,                 4.3491,                  1.159,                0.01327,                0.35652,                0.02489,                0.01634,                 1.3216,                 3.7978,                 1.1671,             0.00014457,             0.00014457,             0.00014457
                      5,                 1.4281,                  4.139,                 1.1287,                0.41979,                0.06232,                0.03447,                 0.0235,                 1.2728,                 3.6074,                 1.1474,              0.0001431,              0.0001431,              0.0001431
                      6,                 1.3747,                 3.9872,                 1.1045,                0.40776,                0.08304,                0.04497,                0.03098,                 1.2318,                 3.4594,                 1.1323,             0.00014162,             0.00014162,             0.00014162
                      7,                 1.3286,                 3.8019,                 1.0726,                0.38368,                0.09146,                 0.0522,                0.03649,                 1.1971,                 3.3796,                 1.1247,             0.00014015,             0.00014015,             0.00014015
                      8,                  1.304,                 3.6705,                 1.0702,                0.38284,                0.09881,                0.06091,                0.04233,                 1.1974,                 3.2345,                 1.1168,             0.00013867,             0.00013867,             0.00013867
                      9,                 1.2967,                 3.5727,                 1.0715,                0.34461,                0.10838,                0.07422,                 0.0529,                 1.1372,                 3.0655,                 1.0872,              0.0001372,              0.0001372,              0.0001372
                     10,                 1.2455,                 3.4534,                 1.0489,                0.33351,                 0.1348,                 0.0964,                0.07041,                 1.1246,                 2.8935,                 1.0801,             0.00013572,             0.00013572,             0.00013572
